"Region","Area","Device Type","Scope Groups","Scope Tags","Criteria"
"US","Northwest","Windows","SG-DD-US-Northwest-Windows","US-Northwest-Windows","device.deviceOSType -contains ""windows"" -and (device.displayName -startsWith ""USNWIT1"" -or device.displayName -startsWith ""USNWIT2"" -or device.displayName -startsWith ""USNWFN1"" -or device.displayName -startsWith ""USNWMN1"" -or device.displayName -startsWith ""USNWIT3"" -or device.displayName -startsWith ""USNWIT4"" -or device.displayName -startsWith ""USNWLG1"" -or device.displayName -startsWith ""USNWMN2"" -or device.displayName -startsWith ""USNWOT1"" -or device.displayName -startsWith ""USNWLG2"" -or device.displayName -startsWith ""USNWLG3"")"
"US","Northwest","macOS","SG-DD-US-Northwest-macOS","US-Northwest-macOS","device.deviceOSType -contains ""mac"" -and (device.displayName -startsWith ""USNWIT1"" -or device.displayName -startsWith ""USNWIT2"" -or device.displayName -startsWith ""USNWFN1"" -or device.displayName -startsWith ""USNWMN1"" -or device.displayName -startsWith ""USNWIT3"" -or device.displayName -startsWith ""USNWIT4"" -or device.displayName -startsWith ""USNWLG1"" -or device.displayName -startsWith ""USNWMN2"" -or device.displayName -startsWith ""USNWOT1"" -or device.displayName -startsWith ""USNWLG2"" -or device.displayName -startsWith ""USNWLG3"")"
"US","Northwest","iPhone","SG-DD-US-Northwest-iPhone","US-Northwest-iPhone","device.deviceOSType -contains ""iphone"" -and (device.displayName -startsWith ""USNWIT1"" -or device.displayName -startsWith ""USNWIT2"" -or device.displayName -startsWith ""USNWFN1"" -or device.displayName -startsWith ""USNWMN1"" -or device.displayName -startsWith ""USNWIT3"" -or device.displayName -startsWith ""USNWIT4"" -or device.displayName -startsWith ""USNWLG1"" -or device.displayName -startsWith ""USNWMN2"" -or device.displayName -startsWith ""USNWOT1"" -or device.displayName -startsWith ""USNWLG2"" -or device.displayName -startsWith ""USNWLG3"")"
"US","Northwest","iPad","SG-DD-US-Northwest-iPad","US-Northwest-iPad","device.deviceOSType -contains ""ipad"" -and (device.displayName -startsWith ""USNWIT1"" -or device.displayName -startsWith ""USNWIT2"" -or device.displayName -startsWith ""USNWFN1"" -or device.displayName -startsWith ""USNWMN1"" -or device.displayName -startsWith ""USNWIT3"" -or device.displayName -startsWith ""USNWIT4"" -or device.displayName -startsWith ""USNWLG1"" -or device.displayName -startsWith ""USNWMN2"" -or device.displayName -startsWith ""USNWOT1"" -or device.displayName -startsWith ""USNWLG2"" -or device.displayName -startsWith ""USNWLG3"")"
"US","Northwest","Android","SG-DD-US-Northwest-Android","US-Northwest-Android","device.deviceOSType -contains ""android"" -and (device.displayName -startsWith ""USNWIT1"" -or device.displayName -startsWith ""USNWIT2"" -or device.displayName -startsWith ""USNWFN1"" -or device.displayName -startsWith ""USNWMN1"" -or device.displayName -startsWith ""USNWIT3"" -or device.displayName -startsWith ""USNWIT4"" -or device.displayName -startsWith ""USNWLG1"" -or device.displayName -startsWith ""USNWMN2"" -or device.displayName -startsWith ""USNWOT1"" -or device.displayName -startsWith ""USNWLG2"" -or device.displayName -startsWith ""USNWLG3"")"
"US","Northwest","SurfaceHub","SG-DD-US-Northwest-SurfaceHub","US-Northwest-SurfaceHub","device.deviceOSType -contains ""surfacehub"" -and (device.displayName -startsWith ""USNWIT1"" -or device.displayName -startsWith ""USNWIT2"" -or device.displayName -startsWith ""USNWFN1"" -or device.displayName -startsWith ""USNWMN1"" -or device.displayName -startsWith ""USNWIT3"" -or device.displayName -startsWith ""USNWIT4"" -or device.displayName -startsWith ""USNWLG1"" -or device.displayName -startsWith ""USNWMN2"" -or device.displayName -startsWith ""USNWOT1"" -or device.displayName -startsWith ""USNWLG2"" -or device.displayName -startsWith ""USNWLG3"")"
"US","Northwest","TeamsRoom","SG-DD-US-Northwest-TeamsRoom","US-Northwest-TeamsRoom","device.deviceOSType -contains ""teamsroom"" -and (device.displayName -startsWith ""USNWIT1"" -or device.displayName -startsWith ""USNWIT2"" -or device.displayName -startsWith ""USNWFN1"" -or device.displayName -startsWith ""USNWMN1"" -or device.displayName -startsWith ""USNWIT3"" -or device.displayName -startsWith ""USNWIT4"" -or device.displayName -startsWith ""USNWLG1"" -or device.displayName -startsWith ""USNWMN2"" -or device.displayName -startsWith ""USNWOT1"" -or device.displayName -startsWith ""USNWLG2"" -or device.displayName -startsWith ""USNWLG3"")"
"US","Northwest","TeamsPhone","SG-DD-US-Northwest-TeamsPhone","US-Northwest-TeamsPhone","device.deviceOSType -contains ""teamsphone"" -and (device.displayName -startsWith ""USNWIT1"" -or device.displayName -startsWith ""USNWIT2"" -or device.displayName -startsWith ""USNWFN1"" -or device.displayName -startsWith ""USNWMN1"" -or device.displayName -startsWith ""USNWIT3"" -or device.displayName -startsWith ""USNWIT4"" -or device.displayName -startsWith ""USNWLG1"" -or device.displayName -startsWith ""USNWMN2"" -or device.displayName -startsWith ""USNWOT1"" -or device.displayName -startsWith ""USNWLG2"" -or device.displayName -startsWith ""USNWLG3"")"
"US","Southwest","Windows","SG-DD-US-Southwest-Windows","US-Southwest-Windows","device.deviceOSType -contains ""windows"" -and (device.displayName -startsWith ""USSWIT1"" -or device.displayName -startsWith ""USSWFN1"" -or device.displayName -startsWith ""USSWFN2"" -or device.displayName -startsWith ""USSWFN3"" -or device.displayName -startsWith ""USSWIT2"" -or device.displayName -startsWith ""USSWLG1"")"
"US","Southwest","macOS","SG-DD-US-Southwest-macOS","US-Southwest-macOS","device.deviceOSType -contains ""mac"" -and (device.displayName -startsWith ""USSWIT1"" -or device.displayName -startsWith ""USSWFN1"" -or device.displayName -startsWith ""USSWFN2"" -or device.displayName -startsWith ""USSWFN3"" -or device.displayName -startsWith ""USSWIT2"" -or device.displayName -startsWith ""USSWLG1"")"
